token_id,registry_id,display_name,category,base_energy
0,1,"Yeganeh Eagle",mathematical-art,600
1,2,"Babylonian Aries Hired Man",babylonian-zodiac,480
2,3,"Babylonian Taurus Bull Of Heaven",babylonian-zodiac,480
3,4,"Babylonian Gemini Great Twins",babylonian-zodiac,480
4,5,"Babylonian Cancer Crayfish",babylonian-zodiac,480
5,6,"Babylonian Leo Lion",babylonian-zodiac,480
6,7,"Babylonian Virgo Furrow",babylonian-zodiac,480
7,8,"Babylonian Libra Scales",babylonian-zodiac,480
8,9,"Babylonian Scorpio Scorpion",babylonian-zodiac,480
9,10,"Babylonian Sagittarius Pabilsag",babylonian-zodiac,480
10,11,"Babylonian Capricorn Goat Fish",babylonian-zodiac,480
11,12,"Babylonian Aquarius Water Bearer",babylonian-zodiac,480
12,13,"Babylonian Pisces Fish String",babylonian-zodiac,480
13,14,"Qubit",quantum-computing,950
14,15,"Hadamard Gate",quantum-computing,950
15,16,"Pauli X Gate",quantum-computing,950
16,17,"Pauli Y Gate",quantum-computing,950
17,18,"Pauli Z Gate",quantum-computing,950
18,19,"Cnot Gate",quantum-computing,950
19,20,"Toffoli Gate",quantum-computing,950
20,21,"Fredkin Gate",quantum-computing,950
21,22,"Swap Gate",quantum-computing,950
22,23,"Controlled Phase",quantum-computing,950
23,24,"Quantum Fourier Transform",quantum-computing,950
24,25,"Grover Oracle",quantum-computing,950
25,26,"Shor Factoring",quantum-computing,950
26,27,"Vqe Circuit",quantum-computing,950
27,28,"Qaoa Circuit",quantum-computing,950
28,49,"Grover Search",general,300
29,50,"Shor Algorithm",general,300
30,52,"Bell State",general,300
31,53,"Quantum Teleportation",general,300
32,54,"Sphere",basic,300
33,55,"Cube",basic,300
34,56,"Cylinder",basic,300
35,57,"Cone",basic,300
36,58,"Torus",basic,300
37,59,"Tetrahedron",basic,300
38,60,"Octahedron",basic,300
39,61,"Icosahedron",basic,300
40,62,"Dodecahedron",basic,300
41,63,"Klein Bottle",topology,890
42,64,"Trefoil Knot",topology,890
43,65,"Mobius Strip",topology,890
44,66,"Hopf Fibration",4d-hyperdimensional,930
45,67,"Sha256 Compression Function",general,300
46,68,"Keccak Sha3 Sponge",general,300
47,69,"Aes Rijndael Cipher",general,300
48,70,"Elliptic Curve Cryptography",general,300
49,71,"Blake3 Hash",general,300
50,72,"Lattice Kyber Ntru",general,300
51,73,"Merkle Tree",cryptography,1000
52,74,"Black Scholes Surface",general,300
53,75,"Volatility Surface",general,300
54,76,"Monte Carlo Risk",general,300
55,77,"Neural Loss Landscape",general,300
56,78,"Gradient Descent Path",general,300
57,79,"Attention Mechanism",neural-networks,850
58,80,"Kolmogorov Complexity",general,300
59,81,"Quantum Information Flow",general,300
60,82,"Hash Avalanche Effect",general,300
61,83,"Blockchain Merkle Tree",general,300
62,84,"Tesseract 4d",general,300
63,85,"Hypersphere",4d-hyperdimensional,930
64,86,"Pentatope",general,300
65,87,"Mandelbulb",general,300
66,88,"Sierpinski Triangle",general,300
67,89,"Menger Sponge",fractals,780
68,90,"Julia Set",general,300
69,91,"Lorenz Attractor",fractals,780
70,92,"Dna Double Helix",molecular-biology,700
71,93,"Protein Folding",molecular-biology,700
72,94,"Neuron Morphology",general,300
73,95,"Heart Surface",general,300
74,96,"Schwarzschild Metric",general-relativity,920
75,97,"Kerr Black Hole",black-holes,970
76,98,"Gravitational Wave",general-relativity,920
77,99,"Riemann Zeta",general,300
78,100,"Golden Ratio Spiral",general,300
79,101,"Fibonacci Surface",general,300
80,102,"Penrose Tiling",general,300
81,103,"Vesica Piscis",sacred-geometry,650
82,104,"Euler Product Formula",general,300
83,105,"Policy Impact Visualization",general,300
84,106,"Qubit Bloch Sphere",general,300
85,107,"Qubit State Vector",general,300
86,108,"Three Qubit Ghz State",general,300
87,109,"Shor Nine Qubit Code",general,300
88,132,"Square",basic,300
89,133,"Circle",basic,300
90,134,"Triangle",basic,300
91,135,"Rectangle",basic,300
92,136,"Pentagon",basic,300
93,137,"Hexagon",basic,300
94,138,"Oval",basic,300
95,139,"Star 3d",basic,300
96,140,"Diamond",basic,300
97,141,"Heart Shape",basic,300
98,142,"Triangular Prism",basic,300
99,143,"Square Prism",basic,300
100,144,"Pentagonal Prism",basic,300
101,145,"Hexagonal Prism",basic,300
102,146,"Heptagonal Prism",basic,300
103,147,"Octagonal Prism",basic,300
104,148,"Nonagonal Prism",basic,300
105,149,"Decagonal Prism",basic,300
106,150,"Hendecagonal Prism",basic,300
107,151,"Dodecagonal Prism",basic,300
108,154,"Figure8 Knot",topology,890
